ฝันเห็นกก | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นต้นกก ทำนายว่า อาจจะเข้าไปอยู่ในสถานการณ์ที่มีคนทะเลาะเบาะแว้งกัน และจะต้องเป็นคนกลางในการไกล่เกลี่ยความขัดแย้งที่เกิดขึ้น หรืออีกแง่หนึ่งจะได้เป็นคนกลางในการช่วยให้คู่รักที่ทะเลาะกันได้ปรับความเข้าใจกันอีกครั้ง | เลขเด็ด: ไม่ระบุ
ฝันเห็นวิ่ง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 19 , 39 , 119 , 139 , 309
ฝันเห็นวิทยุ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นวิมาน | การงาน: ฝันเห็นสวรรค์วิมาน ทำนายว่า ธุรกิจการงานจะประสบความสำเร็จ | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นวิหาร | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเว็จ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเวที | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเวียนเทียน | การงาน: ฝันว่าเวียนเทียนที่วัด ทำนายว่า ดวงขึ้น การงานธุรกิจประสบความสำเร็จ คิดอะไรไว้จะสมหวัง | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นแว่นตา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 93 , 80 , 280 , 288 , 824
ฝันเห็นไว้ทุกข์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นแหวน | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่า ทำแหวนในนิ้วมือหล่นหาย หรือถูกขโมยลักแหวน ทำนายว่า จะเสียของรักหรือมีข้อพิพาททางครอบครัว | เลขเด็ด: 09 , 19 , 10 , 109 , 106 , 115
ฝันเห็นแหวนทอง | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่า ทำแหวนในนิ้วมือหล่นหาย หรือถูกขโมยลักแหวน ทำนายว่า จะเสียของรักหรือมีข้อพิพาททางครอบครัว | เลขเด็ด: 09 , 19 , 10 , 109 , 106 , 115
ฝันเห็นแหวนหาย | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่า ทำแหวนในนิ้วมือหล่นหาย หรือถูกขโมยลักแหวน ทำนายว่า จะเสียของรักหรือมีข้อพิพาททางครอบครัว | เลขเด็ด: ไม่ระบุ
ฝันเห็นศรีษะ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 91 , 98 , 69 , 691 , 981 , 969
ฝันเห็นศัตราวุธ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 23 , 29 , 272 , 293 , 279
ฝันเห็นศัตรู | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นศัตรูคู่อริ หรือมีศัตรูมาทำร้าย หรือต่อสู้กับศัตรู  ทำนายว่า จะหมดเคราะห์หรือหายจากเจ็บไข้ได้ป่วย และจะได้ลาภตามมาภายหลัง | เลขเด็ด: 77 , 79 , 177 , 079 , 792
ฝันเห็นศาลเจ้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 47 , 97 , 474 , 907 , 477
ฝันเห็นศาลพระภูมิ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 47 , 97 , 474 , 907 , 477
ฝันเห็นศาลา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 45 , 47 , 56 , 457 , 567 , 572
ฝันเห็นศิลา | การงาน: ศิลาฤกษ์  ทำนายว่า งานที่คิดหรือทำไว้จะเป็นผลสำเร็จยิ่งใหญ่ หรือจะมีผู้ใหญ่ช่วยอุปการะให้เป็นหลักฐานดี | ความรัก: ไม่ชัดเจน | เลขเด็ด: 49 , 79 , 797 , 494 , 497
ฝันเห็นศีรษะ | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าหัวล้าน ศีรษะล้าน ทำนายว่า จะมีเรื่องไม่ดีเกิดขึ้น เสียของรัก หรือเงินขาดมือ หรือโชคร้าย | เลขเด็ด: ไม่ระบุ
ฝันเห็นเศรษฐี | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเศร้าโศก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 07 , 65 , 57 , 507 , 655 , 577
ฝันเห็นเศษอาหาร | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสงกรานต์ | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นคนเล่นสงกรานต์กัน ทำนายว่า มีเกณฑ์เดินทางไกล จะได้ลาภจากเพศตรงข้ามหรือได้ข่าวจากเพศตรงข้ามที่อยู่ไกลกัน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสงคราม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสงฆ์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 88 , 27 , 78 , 288 , 287 , 289
ฝันเห็นสตรี | การงาน: ไม่ชัดเจน | ความรัก: ชายใดฝันว่าได้พบสตรีแปลกหน้า และได้พูดคุยกัน  ทำนายว่า จะได้รับข่าวจากญาติทางฝ่ายมารดา หรือจากเพศตรงข้ามในทางไกล | เลขเด็ด: 51 , 57 , 511 , 571 , 756
ฝันเห็นสตางค์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสถานี | การงาน: หญิงชายใดฝันว่า ได้ไปที่สถานีรถไฟ หรือสถานที่ที่มีคนรอคอยรถพลุกพล่าน  ทำนายว่า จะเปลี่ยนแปลง หรือโยกย้ายหน้าที่การงานไปทางไกล | ความรัก: ไม่ชัดเจน | เลขเด็ด: 76 , 48 , 47 , 764 , 648 , 449
ฝันเห็นสถูป | การงาน: ถ้าเป็นข้าราชการหรือคนทำงาน จะได้รับตำแหน่งหน้าที่สูงขึ้น | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสบู่ | การงาน: หญิงชายใดฝันว่าได้จับต้องสบู่ หรือใช้สบู่ลูบไล้ร่างกาย  ทำนายว่า จะได้รับข่าวจากญาติมิตรทางไกล หรือมีการโยกย้ายเปลี่ยนแปลงที่อยู่หรือการงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 36 , 39 , 336 , 369 , 309
ฝันเห็นสมโภช | การงาน: ฝันว่าได้ไปงานสมโภช หรือในงานประชุมใหญ่ๆ ถ้าผู้ฝันมีความคิดจะติดต่อการงานกับผู้ใดอยู่  ทำนายว่า การที่คิดไว้จะเป็นผลสำเร็จ ถ้าติดต่อเรื่องรักๆ ใคร่ๆ จะมีหวังสำเร็จ | ความรัก: ฝันว่าได้ไปงานสมโภช หรือในงานประชุมใหญ่ๆ ถ้าผู้ฝันมีความคิดจะติดต่อการงานกับผู้ใดอยู่  ทำนายว่า การที่คิดไว้จะเป็นผลสำเร็จ ถ้าติดต่อเรื่องรักๆ ใคร่ๆ จะมีหวังสำเร็จ | เลขเด็ด: 26 , 28 , 39 , 265 , 386 , 396
ฝันเห็นสมอเรือ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสมุด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 14 , 16 , 114 , 610 , 617
ฝันเห็นสร้อยขาด | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าสร้อยคอขาด ทำนายว่า ช่วงนี้ของรักของท่านอาจจะหายต้องระมัดระวังให้มาก หรือสูญเสียของที่รัก และช่วงนี้ระวังศัตรูคู่แข่งของท่านจ้องจะทำร้ายท่านอยู่ ต้องระวังและมีสติให้มาก | เลขเด็ด: 71 , 617 , 587 , 719 ,  , 865
ฝันเห็นสระผม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 55 , 09 , 05 , 259 , 279 , 570
ฝันเห็นสร้าง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสลัก | การงาน: ฝันว่าตนแกะสลักรูปปั้น  ทำนายว่า จะได้เปลี่ยนหน้าที่หรือการงานใหม่ และเป็นไปในทางดีกว่าเก่า ถ้าเป็นหญิงมีสามีฝัน  ทำนายว่า บุตรจะนำชื่อเสียงมาให้วงศ์ตระกูล | ความรัก: ไม่ชัดเจน | เลขเด็ด: 93 , 94 , 293 , 594 , 496
ฝันเห็นสวดมนต์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 59 , 19 , 159 , 559 , 719 , 350
ฝันเห็นสวน | การงาน: หญิงชายใดฝันว่าได้เดินเล่นอยู่ในสวน สงบราบรื่น  ทำนายว่า จะหมดเคราะห์ ที่เจ็บจะหาย ที่ทุกข์จะคลาย และจะได้รับการเลื่อนตำแหน่งหน้าที่ในการงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 29 , 26 , 279 , 298 , 966
ฝันเห็นส้วม | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่าได้สวมแหวนทองหรือแหวนเพชร  ทำนายว่า ที่เป็นโสดจะได้พบเนื้อคู่ ที่มีเรือนหรือมีครรภ์ ก็จะได้บุตรหญิงน่ารักเป็นศรี หรือมิฉะนั้นก็จะได้ลาภทางเสี่ยงโชค | เลขเด็ด: 09 , 19 , 10 , 109 , 106 , 115
ฝันเห็นสวรรค์ | การงาน: หญิงชายใดฝันว่าได้ขึ้นสู่สวรรค์ชั้นดาวดึงษ์  ทำนายว่า จะเป็นนิมิตอันดีแก่ตนเอง จะได้เลื่อนตำแหน่งหรือยศ ถ้าเป็นพ่อค้าจะได้รับชื่อเสียงและผลกำไรงาม | ความรัก: ไม่ชัดเจน | เลขเด็ด: 69 , 68 , 79 , 669 , 869 , 799
ฝันเห็นสวะ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 04 , 06 , 19 , 104 , 109 , 916
ฝันเห็นส่องกระจก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสังกะสี | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 40 , 48 , 140 , 408 , 441
ฝันเห็นสังข์ | การงาน: ฝันเห็นสังข์ หรือได้ยินเสียงเป่าสังข์ในงานมงคล  ทำนายว่า เป็นความฝันมงคล จะได้รับเลื่อนยศหรือตำแหน่งหน้าที่ หรือได้รับชื่อเสียงในทางดีเด่น | ความรัก: ไม่ชัดเจน | เลขเด็ด: 46 , 47 , 49 , 146 , 247 , 346
ฝันเห็นสังฆทาน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสัตว์ป่า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสัตว์เลี้ยง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสัปทน | การงาน: ฝันเห็นสัปทน หรือมีคนกางสัปทนให้ ทำนายว่า จะได้เลื่อนขั้นเลื่อนตำแหน่ง ได้เกียรติยศชื่อเสียง | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสัปเหร่อ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสาก | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันเห็นสากตำน้ำพริก หรือสากตำข้าว ทำนายว่า หญิงโสดจะได้พบชายเนื้อคู่ในเครื่องแบบ ชายจะได้รับของขวัญจากเพศตรงข้าม หรือญาติข้างฝ่ายมารดา | เลขเด็ด: 16 , 06 , 116 , 160 , 616
ฝันเห็นสาคู | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสามเณร | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 75 , 78 , 278 , 708 , 381
ฝันเห็นสายตะพาย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 42 , 26 , 264 , 644 , 648
ฝันเห็นสายสร้อย | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่าได้สวมสายสร้อยคอ หรือสร้อยข้อมือ  ทำนายว่า จะได้พบเพศตรงข้ามที่พึงพอใจ ถ้าเป็นหญิงมีครรภ์จะได้บุตรหญิงน่ารัก ชายจะได้ลาภเป็นความสุขทางใจ หรือลาภข้าวของมีค่า | เลขเด็ด: 22 , 02 , 228 , 203 , 308
ฝันเห็นสายสิญจน์ | การงาน: ฝันว่าจับต้องสายสิญจน์ที่ขึงรอบบ้าน หรือฝันว่ามีผู้ใหญ่เอาสายสิญจน์มาคล้องคอ คล้องมือ ฝันนี้เป็นนิมิตมงคลดี  ทำนายว่า จะมีผู้ใหญ่ช่วยเหลือ หรือได้เลื่อนตำแหน่งหน้าที่การงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 21 , 10 , 102 , 220 , 219
ฝันเห็นสารถี | การงาน: ฝันเห็นสารถีขับขี่รถม้า หรือเห็นรถเทียมม้าเทียมวัวควายมีผู้ขับขี่ถือบังเหียน  ทำนายว่า จะได้เลื่อนตำแหน่งหน้าที่การงานหรือการค้าจะเปลี่ยนแปลงไปในทางดี | ความรัก: ไม่ชัดเจน | เลขเด็ด: 46 , 49 , 436 , 426 , 449
ฝันเห็นสาวไส้ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 08 , 84 , 408 , 446 , 384
ฝันเห็นสำลี | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 16 , 19 , 111 , 116 , 119
ฝันเห็นสีลม | การงาน: ฝันเห็นสีลมหรือใบพัดเครื่องสีลม หรือกังหันขนาดใหญ่ ทำนายว่า จะต้องเดินทางไกล หรือมีอันโยกย้ายที่อยู่หรือในหน้าที่การงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 14 , 18 , 16 , 148 , 486 , 834
ฝันเห็นสุนัขหอน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสุรา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 23 , 24 , 463 , 234 , 263
ฝันเห็นสุสาน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นสุหร่าย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 22 , 26 , 29 , 229 , 236 , 209
ฝันเห็นสูบ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเส้นด้าย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 41 , 141 , 473 , 217
ฝันเห็นเสวียน | การงาน: ฝันเห็นเสวียนหม้อข้าว หรือเห็นคนหิ้วเสวียนหม้อข้าวผ่านหน้าไป  ทำนายว่า จะได้เพื่อนแปลกถิ่นทางไกลเป็นมิตรแท้ หรือจะมีเพื่อนฝูงช่วยเหลือในการงานและการเงิน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 22 , 55 , 335 , 352 , 229
ฝันเห็นเสาเรือน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 76 , 79 , 076 , 709 , 717
ฝันเห็นเสียจริต | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าตนเองเสียจริต หรือจิตวิกล หรือเห็นคนบ้าวิ่งกระเซอะกระเซิงผ่านหน้าไป  ทำนายว่า จะต้องเสียของรักมีค่า หรือมีการแตกร้าวในครอบครัว หรือคนในบ้าน | เลขเด็ด: 63 , 65 , 466 , 467 , 763
ฝันเห็นเสี้ยนหนาม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 15 , 06 , 156 , 556 , 563
ฝันเห็นเสือ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 34 , 30 , 349 , 309 , 344
ฝันเห็นเสื้อผ้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 81 , 82 , 84 , 818 , 882 , 884
ฝันเห็นแส้ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 24 , 34 , 114 , 112 , 101
ฝันเห็นแส้ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 24 , 34 , 114 , 112 , 101
ฝันเห็นแสง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 49 , 59 , 149 , 519 , 549
ฝันเห็นแสตมป์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 44 , 46 , 446 , 436 , 632
ฝันเห็นโสเภณี | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นไส้เดือน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 12 , 114 , 110 , 164
ฝันเห็นหกล้ม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นหงส์ | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นหงส์หรือห่านขาวในสระ เป็นความฝันที่ดีถ้าเป็นชายโสดฝัน จะได้ภรรยาตระกูลสูง ถ้าเป็นหญิงโสด จะได้รับของขวัญหรือโชคลาภจากเพศตรงข้าม ถ้าเป็นสตรีมีครรภ์จะได้บุตรสาวน่ารักและมีสกุล | เลขเด็ด: 52 , 53 , 152 , 153 , 253
ฝันเห็นหงอนไก่ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นหญ้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 05 , 06 , 116 , 105 , 506
ฝันเห็นหนวด | การงาน: ฝันว่าได้ตัดหนวด หรือโกนหนวดตัวเอง  ทำนายว่า จะต้องเป็นปากเป็นเสียงกับคนในบ้าน หรือในที่ทำงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 81 , 82 , 481 , 482 , 208
ฝันเห็นหนังสือ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 12 , 13 , 14 , 112 , 134 , 342
ฝันเห็นหน้า | การงาน: ฝันว่าตนเองล้างหน้า หรือถูกจับต้องใบหน้าหรือฝัดหน้าด้วยแป้ง  ทำนายว่า จะหมดเคราะห์ หรือจะได้รับอุปการะจากผู้ใหญ่ในหน้าที่การงาน หรือการวิ่งเต้นค้าขาย | ความรัก: ไม่ชัดเจน | เลขเด็ด: 18 , 16 , 17 , 117 , 718 , 716
ฝันเห็นหน้าต่าง | การงาน: ฝันเห็นหน้าต่างเปิด มีแสงสว่างของดวงอาทิตย์หรือดวงจันทร์ส่องลอดเข้ามา  ทำนายว่า การที่คิดไว้จะเป็นผลสำเร็จ หรือสิ่งที่หวังไว้จะได้รับสมหวัง ถ้าฝันว่า หน้าต่างปิด  ทำนายว่า การที่คิดหรือหวังไว้จะมีอุปสรรค หรือต้องเสียเงินเสียทองไปโดยเปล่าประโยชน์ ถ้าฝันว่ากระโดดทางหน้าต่าง จะมีเคราะห์ เกี่ยวกับหน้าที่การงาน หรือกิจการค้าที่กำลังทำอยู่อาจต้องถึงกับล้มละลาย หรือต้องคดีได้ | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นหนาม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นหนี้สิน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 06 , 05 , 506 , 608 , 615
ฝันเห็นห่มผ้า | การงาน: ถ้าฝันว่าเป็นผ้าเก่า ทำนายว่า จะได้รับข่าวดีจากหน้าที่การงานของตนเอง | ความรัก: ไม่ชัดเจน | เลขเด็ด: 48 , 49 , 488 , 089 , 084
ฝันเห็นหม้อ | การงาน: ฝันเห็นซินแสหรือหมอดู ทำนายว่า อุปสรรคในการงานจะหมดไป จะมีคนมาช่วยเหลือชี้ทางให้ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 56 , 57 , 561 , 571 , 572
ฝันเห็นหมอดู | การงาน: ฝันเห็นซินแสหรือหมอดู ทำนายว่า อุปสรรคในการงานจะหมดไป จะมีคนมาช่วยเหลือชี้ทางให้ | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นหมอน | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าได้เข้าไปนอนในมุ้งครอบ หรือได้รับมุ้งหมอนจากผู้นำมาให้ในฝัน ทำนายว่า จะได้พบเนื้อคู่ที่พึงพอใจหรือจะได้ลาภเป็นข้าวของที่ถูกใจ | เลขเด็ด: 14 , 26 , 24 , 614 , 624 , 262
ฝันเห็นหมา | การงาน: ไม่ชัดเจน | ความรัก: ถ้าฝันว่าได้อุ้มลูกหมาขนปุยน่ารัก ทำนายว่า คนในบ้านต่ำอายุกว่าจะก่อความเดือดร้อนใจให้ภายหลัง | เลขเด็ด: ไม่ระบุ
ฝันเห็นหลุม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 06 , 05 , 506 , 501 , 505
ฝันเห็นห่วง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นหวาย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 51 , 56 , 115 , 556 , 551
ฝันเห็นหวีผม | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าหวีผมตนเองใส่น้ำมัน ถ้าฝันในตอนกลางวัน  ทำนายว่า จะเคราะห์ร้าย ถึงเลือดตกยางออก ถ้าฝันในเวลากลางคืน ทำนายว่า คนรักหรือสามีหรือภริยาจะนอกใจ | เลขเด็ด: 78 , 76 , 68 , 278 , 267 , 268
ฝันเห็นหัวล้าน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 66 , 55 , 565 , 550 , 585
ฝันเห็นหัวล้าน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 66 , 55 , 565 , 550 , 585
ฝันเห็นหัวหมู | การงาน: ฝันเห็นหัวหมู หรือเครื่องบายศรี หรือหัวหมูวางหน้าศาลเจ้า  ทำนายว่า จะได้รับโชคจากการค้า หรือได้เลื่อนตำแหน่งหน้าที่การงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 12 , 219 , 191 , 122
ฝันเห็นหางกระเบน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นหางไก่ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 17 , 16 , 671 , 117 , 119
ฝันเห็นหาดทราย | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าไปเที่ยวหาดทราย ทำนายว่า จะมีความสุขสนุกสนาน ได้เดินทางท่องเที่ยว ได้ลาภจากเพศตรงข้าม | เลขเด็ด: ไม่ระบุ
ฝันเห็นหาบของ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นหิ่งห้อย | การงาน: ฝันเห็นหิ่งห้อย(ตัวเดียว)  ทำนายว่า การที่คิดไว้จะสมหวังโชคลาภกำลังจะมา ฝันเห็นหิ่งห้อยมีแสงเรืองๆ ที่ก้น บินกันมาเป็นกลุ่ม  ทำนายว่า จะได้รับข่าวดีในตำแหน่ง หรือเกี่ยวกับโชคดีภายในบ้าน หรือครอบครัว | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 12 , 56 , 115 , 112 , 165
ฝันเห็นหิมพานต์ | การงาน: ฝันว่าตนเองเดินหลงเข้าไปในป่าแห่งหนึ่งตามความเข้าใจว่าเป็นป่าหิมพานต์  ทำนายว่า จะมีการโยกย้ายที่อยู่ หรือหน้าที่ในตำแหน่งโดยกะทันหัน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 45 , 46 , 544 , 644 , 537
ฝันเห็นหุ่น | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นหุ่นไล่กา | การงาน: ฝันเห็นหุ่นไล่กา ทำนายว่า การงานดี การเงินจะมั่นคง ดวงกำลังดีขึ้นเรื่อยๆ | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเห็ด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเหรียญ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 88 , 27 , 78 , 288 , 287 , 289
ฝันเห็นเหรียญเงิน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเหาะเหิน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 55 , 56 , 955 , 959 , 865
ฝันเห็นแห | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 04 , 44 , 440 , 442 , 448
ฝันเห็นแห้ว | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่า ทำแหวนในนิ้วมือหล่นหาย หรือถูกขโมยลักแหวน ทำนายว่า จะเสียของรักหรือมีข้อพิพาททางครอบครัว | เลขเด็ด: ไม่ระบุ
ฝันเห็นไหม้ | การงาน: ถ้าฝันว่าเดินเข้าไปในบ้านร้าง ทำนายว่า จะต้องโยกย้ายที่อยู่หรือการงาน | ความรัก: ฝันเห็นบ้านหรือเรือนปรักหักพัง ทำนายว่า จะเสียของรักหรือมีเหตุทะเลาะวิวาทภายในครอบครัว | เลขเด็ด: ไม่ระบุ
ฝันเห็นอ่าง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 08 , 04 , 208 , 209 , 508
